title,authors,work_id,first_publish_year,language,subjects,number_of_pages,edition_count
Pippi Långstrump,Astrid Lindgren,OL14872925W,1945,pol,,,114
"Villette, a novel",Charlotte Brontë,OL1095403W,1853,ger,,,518
Utopia,Thomas More,OL15366912W,1518,ara,,,198
Cyrano de Bergerac,Edmond Rostand,OL551668W,1821,spa,,,308
Siddhartha,Hermann Hesse,OL872932W,1922,rus,,,205
Middlemarch,George Eliot,OL20867W,1871,spa,,,199
Pollyanna,"Eleanor Hodgman Porter, Porter, Neil Reed, Lee Giles",OL2775807W,1912,rus,,,552
Mein Kampf,Adolf Hitler,OL1067314W,1922,eng,,,114
Inferno,Dante Alighieri,OL93227W,1767,und,,,445
Guess How Much I Love You,"Sam McBratney, Anita Jeram",OL58402W,1839,gem,,,129
Poetics,"Aristotle, Leon Golden, O. B. Hardison",OL13703833W,1536,urd,,,251
Crooked House,Agatha Christie,OL471891W,1949,eng,,,109
The Bell Jar,Sylvia Plath,OL1865528W,1963,eng,,,149
Les Contes de ma mère l'Oye,Charles Perrault,OL23869W,1675,arm,,,206
The Very Hungry Caterpillar,Eric Carle,OL52987W,1969,guj,,,178
Carmilla,Joseph Sheridan Le Fanu,OL2895536W,1871,spa,,,267
La Chute,Albert Camus,OL1230631W,1917,snd,,,130
Der Proceß,Franz Kafka,OL498463W,1925,pol,,,351
The Canterbury Tales,"Geoffrey Chaucer, John E. Cunningham, Peter Ackroyd, Ted Stearn, V. A. Kolve, Glending Olson",OL531767W,1478,eng,,,722
Aeneis,Publius Vergilius Maro,OL16280231W,1710,per,,,456
Confessions,Augustine of Hippo,OL137872W,1482,ara,,,449
Howards End,Edward Morgan Forster,OL88881W,1910,eng,,,166
King Solomon's Mines,H. Rider Haggard,OL17449W,1885,eng,,,110
Rebecca,Daphne du Maurier,OL36633W,1938,pol,,,183
Macbeth,William Shakespeare,OL258902W,1508,gle,,,953
The Good Earth,"Pearl S. Buck, Nick Bertozzi, Ruth Goode, Donald F. Roden, Ernst Simon, Stephen Colbourn",OL1140109W,1931,eng,,,170
Mémoires d'Hadrien,Marguerite Yourcenar,OL106837W,1951,ara,,,129
Poems,William Wordsworth,OL26386W,1807,eng,,,372
Essays,Francis Bacon,OL69382W,1618,eng,,,188
Philosophiae naturalis principia mathematica,Sir Isaac Newton,OL104736W,1687,eng,,,104
The Silmarillion,J.R.R. Tolkien,OL27495W,1977,pol,,,147
Faust,Johann Wolfgang von Goethe,OL52456W,1800,ukr,,,632
Death on the Nile,Agatha Christie,OL471724W,1937,fin,,,164
The Ugly Duckling,Hans Christian Andersen,OL15155002W,1851,pol,,,122
Summa Theologica,"Thomas Aquinas, Kennedy, Daniel Joseph, 1862-1930",OL15314568W,1467,lat,,,277
The Moonstone,"Wilkie Collins, Pieter Koster, Sandra Kemp, Andronum (cover illustrator)",OL176092W,1868,rus,,,636
Mrs. Dalloway,Virginia Woolf,OL39349W,1925,slv,,,476
The moving finger,Agatha Christie,OL471905W,1942,spa,,,109
Death in the Clouds,Agatha Christie,OL472324W,1935,ita,,,103
πολιτεία,Πλάτων,OL51831W,1554,ara,,,792
On Liberty,John Stuart Mill,OL1068091W,1859,urd,,,465
L’étranger,Albert Camus,OL1230613W,1942,jav,,,333
Der Zauberberg,Thomas Mann,OL14866824W,1924,eng,,,188
Nicomachean Ethics,"Aristotle, J. A. Smith, Joe Sachs, Robert C. Bartlett, Susan D. Collins, L H. G. ed Greenwood, Hye-Kyung Kim",OL8273964W,1558,ara,,,416
The Sayings of Lao Tzü,Laozi,OL45503W,1875,rus,,,191
A Clockwork Orange,Anthony Burgess,OL261794W,1962,eng,,,132
A Room of One's Own,Virginia Woolf,OL39379W,1929,pol,,,302
Πολιτικά (Politiká),Aristotle,OL16247898W,1492,eng,,,224
Animal Farm,George Orwell,OL1168007W,1945,ara,,,412
Οἰδίπους Τύραννος (Oidípous Týrannos),Sophocles,OL43861W,1715,ita,,,187
Meditations,Marcus Aurelius,OL1317211W,1626,ita,,,365
Appointment with Death,Agatha Christie,OL471667W,1938,ita,,,103
For Whom the Bell Tolls,Ernest Hemingway,OL63009W,1940,eng,,,167
The Castle of Otranto,Horace Walpole,OL183675W,1764,rus,,,155
La Poetica,Aristotle,OL151515W,1479,urd,,,498
Orlando,Virginia Woolf,OL39360W,1928,ita,,,316
Decamerone,Giovanni Boccaccio,OL7180368W,1516,ukr,,,700
History of the Peloponnesian War,Thucydides,OL16200353W,1526,lat,,,172
The BFG,Roald Dahl,OL45885W,1980,eng,,,136
Ivanhoe,Sir Walter Scott,OL863808W,1800,gle,,,228
Women in Love,D. H. Lawrence,OL81294W,1877,eng,,,553
Les Misérables,Victor Hugo,OL1063588W,1862,ita,,,523
The Railway Children,Edith Nesbit,OL99509W,1900,eng,,,976
Lives,Plutarch,OL2521179W,1564,lat,,,322
Breakfast at Tiffany's,Truman Capote,OL1992167W,1956,ita,,,106
The Murder at the Vicarage,Agatha Christie,OL471895W,1930,gre,,,118
De rerum natura,Titus Lucretius Carus,OL1548597W,1486,und,,,537
Moralia,Plutarch,OL723491W,1500,lat,,,211
Julius Caesar,William Shakespeare,OL362702W,1684,fao,,,697
Candide,"Voltaire, William Fleming, Philip Littell, Jack Davenport",OL100672W,1746,eng,,,1079
The Woman in White,Wilkie Collins,OL176045W,1860,ita,,,425
Book of common prayer,"Church of England, J. A. Maurault",OL769120W,1537,ara,,,545
La nausée,Jean-Paul Sartre,OL1161171W,1938,fin,,,98
Romeo and Juliet,William Shakespeare,OL362427W,1597,afr,,,973
Oliver Twist,Charles Dickens,OL8193478W,1822,ukr,,,2210
Daisy Miller,Henry James,OL276328W,1877,ger,,,244
El amor en los tiempos del cólera,Gabriel Garcia Marquez,OL274518W,1985,gre,,,127
Alice's Adventures in Wonderland,Lewis Carroll,OL138052W,1865,gle,,,3546
Ars Amatoria,Ovid,OL97725W,1494,mul,,,98
Kim,Rudyard Kipling,OL19908W,1901,pol,,,934
4:50 from Paddington,Agatha Christie,OL471500W,1957,ita,,,131
Ethan Frome,Edith Wharton,OL98501W,1910,pol,,,1000
And Then There Were None,Agatha Christie,OL471565W,1939,pol,,,182
Vom Kriege,"Carl von Clausewitz, F. N. Maude, James John Graham",OL62744W,1835,und,,,190
Great Expectations,"Charles Dickens, Charles Dickens",OL8721462W,1861,ita,,,1493
Les fleurs du mal,Charles Baudelaire,OL1158921W,1855,spa,,,362
कामसूत्र,"Vatsyāyana, Alfredo B. Bedoya, Richard Burton",OL239940W,1883,ori,,,381
The Pilgrim's Progress,John Bunyan,OL107195W,1678,wel,,,683
Naturalis historia,Pliny the Elder,OL1257866W,1469,spa,,,100
The Thirty-Nine Steps,John Buchan,OL76524W,1915,pol,,,715
The Man in the Brown Suit,Agatha Christie,OL472549W,1924,eng,,,192
The Art of War,"孙武, Sun Tzu ",OL244537W,1900,mul,,,1433
Hamlet,William Shakespeare,OL9170454W,1603,ara,,,1310
Twelfth Night,William Shakespeare,OL362694W,1734,pol,,,636
Emma,Jane Austen,OL66513W,1815,und,,,2260
The Adventures of Tom Sawyer,Mark Twain,OL53919W,1817,per,,,879
The Mysterious Affair at Styles,"Agatha Christie, Aric Cushing, Bookstar",OL472715W,1920,lav,,,1017
To the Lighthouse,Virginia Woolf,OL39396W,1927,ita,,,521
Anne of Windy Poplars,Lucy Maud Montgomery,OL77751W,1900,pol,,,310
Brave New World,Aldous Huxley,OL64365W,1932,pol,,,678
The Prince,Niccolò Machiavelli,OL1089297W,1515,ara,,,1406
David Copperfield,"Charles Dickens, Francesc Ràfolsen, Mary Sebag-Montefiore, Ginger Roberts Brackett, Manuel Rodríguez Navas y Carrasco., Jose KING",OL8662242W,1800,mon,,,844
A Christmas Carol,Charles Dickens,OL8193497W,1843,glg,,,2727
Le petit prince,Antoine de Saint-Exupéry,OL10263W,1943,ita,,,371
Anna Karenina,Лев Толстой,OL267096W,1876,ukr,,,899
The Hound of the Baskervilles,Arthur Conan Doyle,OL262454W,1900,hin,,,1306
Kritik der reinen Vernunft,Immanuel Kant,OL99844W,1781,ita,,,153
A Tale of Two Cities,Charles Dickens,OL8193465W,1800,gle,,,2059
Faerie queene,Edmund Spenser,OL1146502W,1590,eng,,,139
The Night Before Christmas,Clement Clarke Moore,OL655908W,1857,spa,,,389
Jane Eyre,Charlotte Brontë,OL1095427W,1847,cor,,,787
Nineteen Eighty-Four,George Orwell,OL1168083W,1949,ind,,,435
The Picture of Dorian Gray,Oscar Wilde,OL8193416W,1890,ukr,,,2297
The Jungle Book,Rudyard Kipling,OL19870W,1893,eng,,,537
"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,OL44973W,1872,fre,,,352
Εὐθύφρων / Κρίτων / Φαίδων / Ἀπολογία Σωκράτους,Πλάτων,OL51784W,1871,ita,,,126
The Jewel of Seven Stars,Bram Stoker,OL85891W,1902,eng,,,653
The Devil's Dictionary,Ambrose Bierce,OL7973273W,1840,eng,,,312
Murder on the Orient Express,"Agatha Christie, Andrew Sachs, Ken Ludwig, Not Known, Graham Johnson, Bethany Bolton, Jesse Felton, Chalut, Hal Boffin",OL471576W,1933,pol,,,221
The Old Man and the Sea,Ernest Hemingway,OL63073W,1952,ara,,,224
A Doll's House,Henrik Ibsen,OL16249343W,1889,yid,,,255
Poems by John Keats,John Keats,OL1455259W,1800,eng,,,200
Ab urbe condita,Titus Livius,OL1261147W,1481,pol,,,558
Pride and Prejudice,Jane Austen,OL66554W,1813,ind,,,4036
Treasure Island,Robert Louis Stevenson,OL24034W,1880,gle,,,1984
"Works [37 plays, 6 poems, sonnets]",William Shakespeare,OL259028W,1730,fre,,,213
Tempest,William Shakespeare,OL362699W,1611,ita,,,799
Het Achterhuis,Anne Frank,OL266178W,1944,ita,,,281
Manifest der Kommunistischen Partei,"Karl Marx, Friedrich Engels",OL629052W,1848,ita,,,458
Kinder- und Hausmärchen,Brothers Grimm,OL45361W,1812,eng,,,207
Ulysses,James Joyce,OL86318W,1920,pol,,,584
Die Verwandlung,Franz Kafka,OL498556W,1915,eng,,,948
Sense and Sensibility,Jane Austen,OL66562W,1811,pol,,,2015
As a man thinketh,James Allen,OL43024W,1902,tam,,,657
Pensées,"Blaise Pascal, Philippe Sellier, William Finlayson Trotter, T. S. Eliot, Blaise Perier, Margival Henri, H. F. Stewart",OL1262495W,1670,lat,,,395
Winnie-the-Pooh,A. A. Milne,OL476641W,1925,ger,,,186
"The science of getting rich, or, financial success through creative thought","Wallace D. Wattles, Ruth L Miller, Patricia J. Crane, Rick Nichols",OL3792044W,1910,spa,,,235
The Travels of Marco Polo,Marco Polo,OL15584860W,1818,ita,,,114
The Grapes of Wrath,John Steinbeck,OL23205W,1939,pol,,,260
Gulliver's Travels,Jonathan Swift,OL20600W,1726,per,,,1809
The Wonderful Wizard of Oz,L. Frank Baum,OL18417W,1899,yue,,,2052
The Elements of Style,"William Strunk, Jr., E. B. White",OL38285W,1920,eng,,,245
Don Quixote,Miguel de Cervantes Saavedra,OL503666W,1600,gle,,,1587
Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jerome,OL1793164W,1889,spa,,,726
Hard Times,"Charles Dickens, García de García de Luna, Elisa Esgasa, Emilia Pardo Bazán",OL8193387W,1854,spa,,,1030
The Legend of Sleepy Hollow,Washington Irving,OL63985W,1820,lao,,,1017
The Island of Dr. Moreau,"H. G. Wells, Fiona Beddall, Dobbs, Fabrizio Fiorentino, David Domínguez, Jonathan Kent, Margaret Atwood, Judit Lligonya Tenasen, Manuel Rivas Cabezuelo, Amaia Gurbindo, Judit Lligonya Tenas, Marta Seoane Rebollo",OL381550W,1896,ita,,,295
Robin Hood,Howard Pyle,OL2021953W,1883,spa,,,368
Συμπόσιον,Πλάτων,OL51815W,1559,lat,,,350
The Merchant of Venice,William Shakespeare,OL258758W,1600,mon,,,771
Wuthering Heights,Emily Brontë,OL21177W,1846,gle,,,2850
The Call of the Wild,Jack London,OL14942956W,1903,ara,,,1393
The Secret Garden,"Frances Hodgson Burnett, Miller, Steve, Luisa Uribe, Annabel Stones, Mel Howells",OL69612W,1911,und,,,925
The Invisible Man,H. G. Wells,OL52266W,0,eng,,,563
A Vindication of Rights of Woman,Mary Wollstonecraft,OL849186W,1792,eng,,,309
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,OL2163649W,1979,rus,,,120
Les Trois Mousquetaires,"Alexandre Dumas, Auguste Maquet",OL36861W,1844,glg,,,1101
Madame Bovary,Gustave Flaubert,OL893707W,1856,ukr,,,1554
Five Children and It,Edith Nesbit,OL99499W,1905,eng,,,945
Elements,Euclid,OL912133W,1482,ara,,,171
Преступление и наказание,Фёдор Михайлович Достоевский,OL166894W,1866,ita,,,405
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,OL1100007W,1872,gle,,,425
The Red Badge of Courage,Stephen Crane,OL20844W,1855,eng,,,639
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,OL82536W,1999,per,,,260
Vingt mille lieues sous les mers,"Jules Verne, Serge Micheli, Francois Riviere",OL1099280W,1870,pol,,,382
The Power of Darkness,Edith Nesbit,OL407498W,2006,eng,,,125
The Body in the Library,Agatha Christie,OL471610W,1942,pol,,,111
King Henry V,William Shakespeare,OL361466W,1600,spa,,,527
Northanger Abbey,Jane Austen,OL66534W,1818,spa,,,1011
Le avventure di Pinocchio,Carlo Collodi,OL1527356W,1883,lat,,,430
The War of the Worlds,H. G. Wells,OL52114W,0,und,,,462
Much Ado About Nothing,William Shakespeare,OL362691W,1600,chi,,,397
A Midsummer Night's Dream,William Shakespeare,OL259010W,1600,ita,,,939
Kidnapped,Robert Louis Stevenson,OL24166W,1886,gle,,,352
The Great Gatsby,F. Scott Fitzgerald,OL468431W,1920,pol,,,1174
Pickwick Papers,"Charles Dickens, A. G. Eyre, David Foulds, Federigo Verdinois, Pierre Grollier, JUAN DE PASO, José María Valverde Pacheco, Josep Carner",OL8763776W,1800,pol,,,538
Fantastic Mr Fox,Roald Dahl,OL45804W,1970,jpn,,,140
Sparkling Cyanide,Agatha Christie,OL471983W,1945,spa,,,105
Dune,Frank Herbert,OL893415W,1965,pol,,,116
The Sign of Four,Arthur Conan Doyle,OL262438W,1889,spa,,,961
Persuasion,Jane Austen,OL66544W,1789,pol,,,1235
The Great God Pan,Arthur Machen,OL3388961W,1894,fre,,,214
Curtain,Agatha Christie,OL472470W,1975,gre,,,105
Peril at End House,Agatha Christie,OL472165W,1932,spa,,,107
"The Complete Sherlock Holmes [4 novels, 56 stories]",Arthur Conan Doyle,OL262554W,1900,dut,,,119
The Tale of Peter Rabbit,"Beatrix Potter, Blackwell North America., Jean Little, David Hately, J. K. Jomkhwan, Lisa McCue",OL26460746W,1920,spa,,,102
"The Lion, the Witch and the Wardrobe",C.S. Lewis,OL71037W,1950,pol,,,158
Evil Under the Sun,Agatha Christie,OL472049W,1941,eng,,,114
Le fantôme de l'opéra,Gaston Leroux,OL1833989W,1911,spa,,,130
Prince Caspian,C.S. Lewis,OL71069W,1951,wel,,,146
Tess of the d'Urbervilles,Thomas Hardy,OL44927W,1707,pol,,,747
Moby Dick,Herman Melville,OL102749W,1851,hin,,,1117
A Study in Scarlet,Arthur Conan Doyle,OL262496W,1887,eng,,,1444
On The Beach,"Nevil Shute, Gideon Haigh, G. C. Thornley, SparkNotes Staff, SparkNotes",OL2779754W,1957,rus,,,121
Whose Body?,Dorothy L. Sayers,OL2234917W,1923,ger,,,319
Carrie,Stephen King,OL81626W,1974,spa,,,112
'Salem’s Lot,Stephen King,OL81632W,1975,rus,,,104
Lolita,Vladimir Nabokov,OL627084W,1955,pol,,,134
The Alchemist,Paulo Coelho,OL796465W,1988,ind,,,137
Veinte poemas de amor y una canción desesperada,Pablo Neruda,OL979517W,1924,spa,,,99
